1,Anxiety disorders include disorders that share features of excessive fear and anxiety and related behavioral disturbances. Fear is the emotional response to real or perceived.,inst,,,,,,,,
2,Are you a person attached to family? Are you in distress when you leave your family for some work?,image,images/test1.png,,,,,,,
3,Answer to previous question,multi,2,A,B,,,,,
4,Will you be very much distressed and worried if your family or close friends have encountered with a small ailment?,multi,3,Yes,No,Rarely,,,,
5,Are you constantly traumatised by the idea of separation from your closed ones?,multi,3,Yes,No,"To an extent ,yes",,,,
6,"Do u get nervous if I have to speak with someone in authority (teacher, boss, etc.)?",multi,2,"Yes, I am very much stressed","No, I can easily convey my thoughts",,,,,
7,Which kind of a person are you?,multi,2,Introvert,Extrovert,,,,,
8,Person X is unsure whether to greet someone he/she know only slightly? Can you resonate with his/her character?,multi,2,Yes I can tottaly resonate with her.,"No,I don’t find her character matching mine.",,,,,
9,How often have you been bothered by poor appetite or overeating?,multi,4,Not at all,Several days,More than half the days,Almost everyday,,,
10,"If you have any problem, which of these options do you usually prefer doing?",multi,2,Sit alone and think about it,Talk about it to friends,,,,,
11,"Obsessive-compulsive and related disorders include obsessive-compulsive disorder (OCD), body dysmorphic disorder, hoarding disorder, trichotillomania (hairpulling disorder), excoriation (skin-picking) disorder, substance/medication-induced obsessive-compulsive and related disorder, an obsessive-compulsive and related disorder due to another medical condition, and other specified obsessive-compulsive and related disorder and unspecified obsessive-compulsive and related disorder (e.g., body-focused repetitive behavior disorder, obsessional jealousy).",inst,,,,,,,,
12,Do you ever feel the need to confess or repeatedly ask for reassurance that you said or did something correctly?,multi,4,Always,Most of the time,Sometimes,Never,,,
13,Do you double check your locks and windows and still think if you locked them properly even after leaving your house?,multi,2,Yes,No,,,,,
14,Does seeing the wall clock a little tilted or shoes not kept correctly upset you?,multi,4,Not at all,Sometimes,Often,Always,,,
15,"Do you find it difficult to touch an object when you know, it has been touched by somebody else?",multi,4,Not at all,Sometimes,Often,Always,,,
16,Do you avoid throwing things or giving them because you might need them later?,multi,2,Yes,No,,,,,
17, Do you feel like there exists something like good and bad colors and number?,multi,2,Yes ,No,,,,,
18,Do you wash your hands more often and for more than 40 seconds?,multi,4,Not at all,Sometimes,Often,Always,,,
19,I try to remember events in detail or make mental lists to prevent unpleasant consequences. How Often?,multi,4,Not at all,Sometimes,Often,Always,,,
20,Do you usually have doubts about the simple everyday things you do and when you start to worry you can’t stop easily?,multi,2,Yes,No,,,,,
21,Does anyone in your family has ever been diagnosed with OCD?,multi,2,Yes ,No,,,,,
22,Do you avoid using washroom when you visit someone’s place?,multi,2,Yes,No,,,,,
23,Do you suffer from unwanted thoughts?,multi,3,"Yes, several times a day","Yes, frequently",No,,,,
24,Do you feel the need to organize items in a certain way – for example lining everything up until they feel 'right'?,multi,3,"Yes, I keep organizing things, or I can’t relax",,"Yes, I like things clean and tidy, but can cope if things are messy from time to time","No, I don’t worry about how things are organized",,,
25,Do you feel some comfort when you repeat certain numbers or words in your minds?,multi,2,Yes,No,,,,,
26,Have you ever been diagnosed with some other mental health related issue?,multi,2,Yes ,No,,,,,
27,"Feeding and eating disorders are characterized by a persistent disturbance of eating or eating-related behavior that results in the altered consumption or absorption of food and that significantly impairs physical health or psychosocial functioning. Diagnostic criteria are provided for pica, rumination disorder, avoidant/restrictive food intake disorder, anorexia nervosa, bulimia nervosa, and binge-eating disorder",inst,,,,,,,,
28,Do you struggle with a lack of interest in or an avoidance of food or eating?,multi,3,Often,Sometimes,Never,,,,
